scenario,event_type,count,mean_total_response_ms,median_total_response_ms,std_total_response_ms,q25_total_response_ms,q75_total_response_ms,mean_resolution_ms,median_resolution_ms,mean_total_response_s,mean_resolution_s
3m_1k,machineFailure,6,4294.0,4539.5,1838.5814096743175,2661.25,5535.0,2009.5,2008.5,4.294,2.0095
3m_1k,newMachine,46,8804.978260869566,5001.0,4965.320893688008,5000.0,10001.0,3725.9565217391305,4906.5,8.804978260869566,3.7259565217391306
3m_1k,storageAlert,7,3126.5714285714284,2015.0,3585.2995624328178,464.5,4541.0,288.85714285714283,3.0,3.1265714285714283,0.2888571428571428
3m_2k,machineFailure,5,11348.4,6112.0,9006.429192526859,5900.0,21078.0,2007.6,2007.0,11.3484,2.0076
3m_2k,newMachine,72,8959.027777777777,5001.0,5434.811146341759,5000.75,10001.0,3743.1805555555557,4988.0,8.959027777777777,3.7431805555555555
3m_2k,storageAlert,8,3006.5,1528.5,3619.748491657555,10.75,5101.5,773.125,2.5,3.0065,0.773125
5m_1k,machineFailure,5,4424.4,4226.0,1599.5678478889226,3067.0,5102.0,2010.2,2012.0,4.4243999999999994,2.0102
5m_1k,newMachine,60,9500.683333333332,7500.0,5423.303526017213,5000.0,15000.0,3715.8166666666666,4751.0,9.500683333333333,3.7158166666666665
5m_1k,storageAlert,14,5780.214285714285,5895.0,3779.6283329402686,2511.0,9103.5,865.5,4.0,5.780214285714285,0.8655
5m_2k,machineFailure,11,5676.090909090909,4744.0,2424.632815687582,4562.5,5889.0,2008.8181818181818,2008.0,5.676090909090909,2.0088181818181816
5m_2k,newMachine,79,10064.113924050633,10000.0,5575.973390905456,5001.0,15001.0,3518.1012658227846,4605.0,10.064113924050632,3.518101265822785
5m_2k,storageAlert,3,4366.0,3902.0,4133.578111031652,2193.0,6307.0,4.666666666666667,5.0,4.366,0.004666666666666667
5m_3k,machineFailure,15,6497.0,5464.0,4525.4599134863,4207.5,6816.0,2009.6666666666667,2006.0,6.497,2.009666666666667
5m_3k,newMachine,115,9305.182608695652,10000.0,4995.490539428479,5001.0,10002.5,3946.5565217391304,4985.0,9.305182608695652,3.9465565217391303
5m_3k,storageAlert,6,5996.666666666667,5299.5,4683.635710286045,2301.0,7719.0,2980.3333333333335,1006.0,5.996666666666667,2.9803333333333333
5m_4k,machineFailure,13,7839.538461538462,5364.0,5621.283166315093,4718.0,6648.0,2001.6923076923076,2009.0,7.839538461538462,2.0016923076923074
5m_4k,newMachine,93,9570.89247311828,5002.0,5549.5846132495935,5001.0,15000.0,3907.1290322580644,4973.0,9.57089247311828,3.9071290322580645
5m_4k,storageAlert,3,4062.3333333333335,5395.0,3573.503089873204,2704.5,6086.5,4.333333333333333,3.0,4.062333333333333,0.004333333333333333
