id,type,trigger_ts,reaction_ts,solved_ts,scheduler_latency,machine_latency
nM0-001,newMachine,1764689031041,1764689031145,1764689036041,104,4896
nM4-002,newMachine,1764689031116,1764689031157,1764689036116,41,4959
nM1-003,newMachine,1764689031128,1764689031158,1764689036128,30,4970
nM2-004,newMachine,1764689031182,1764689031204,1764689036182,22,4978
nM3-005,newMachine,1764689031348,1764689031363,1764689036348,15,4985
mF4-001,machineFailure,1764689051117,1764689054206,1764689056219,3089,2013
nM4-006,newMachine,1764689078841,1764689096995,1764689098842,18154,1847
nM4-007,newMachine,1764689078841,1764689097000,1764689098842,18159,1842
nM4-008,newMachine,1764689078841,1764689097000,1764689098842,18159,1842
nM4-009,newMachine,1764689078841,1764689097001,1764689098842,18160,1841
nM4-010,newMachine,1764689190388,1764689195397,1764689200389,5009,4992
mF1-001,machineFailure,1764689206138,1764689208358,1764689210364,2220,2006
nM3-011,newMachine,1764689230884,1764689231985,1764689235884,1101,3899
sA-001,storageAlert,1764689526382,1764689534307,1764689534309,7925,2
nM0-012,newMachine,1764689662133,1764689681540,1764689682135,19407,595
nM0-013,newMachine,1764689662133,1764689681545,1764689682135,19412,590
nM0-014,newMachine,1764689662133,1764689681546,1764689682135,19413,589
nM0-015,newMachine,1764689662133,1764689681546,1764689682135,19413,589
nM0-016,newMachine,1764689662133,1764689681549,1764689682135,19416,586
nM0-017,newMachine,1764689662133,1764689681551,1764689682135,19418,584
nM0-018,newMachine,1764689662133,1764689681552,1764689682135,19419,583
nM0-019,newMachine,1764689662133,1764689681552,1764689682135,19419,583
nM0-020,newMachine,1764689662133,1764689681555,1764689682135,19422,580
nM0-021,newMachine,1764689662133,1764689681555,1764689682135,19422,580
nM0-022,newMachine,1764689662133,1764689681556,1764689682135,19423,579
nM0-023,newMachine,1764689662133,1764689681562,1764689682135,19429,573
nM0-024,newMachine,1764689662133,1764689681562,1764689682135,19429,573
nM0-025,newMachine,1764689662133,1764689681563,1764689682135,19430,572
nM0-026,newMachine,1764689662133,1764689681567,1764689682135,19434,568
nM0-027,newMachine,1764689662133,1764689681568,1764689682135,19435,567
nM0-028,newMachine,1764689662133,1764689681568,1764689682135,19435,567
nM0-029,newMachine,1764689662133,1764689681569,1764689682135,19436,566
nM0-030,newMachine,1764689662133,1764689681570,1764689682135,19437,565
nM0-031,newMachine,1764689662133,1764689681571,1764689682135,19438,564
