id,type,trigger_ts,reaction_ts,solved_ts,scheduler_latency,machine_latency
nM3-001,newMachine,1764713145706,1764713145754,1764713150707,48,4953
nM0-002,newMachine,1764713145960,1764713145999,1764713150961,39,4962
nM1-003,newMachine,1764713146022,1764713146057,1764713151022,35,4965
nM4-004,newMachine,1764713146047,1764713146063,1764713151048,16,4985
nM2-005,newMachine,1764713146092,1764713146121,1764713151093,29,4972
mF2-001,machineFailure,1764713156093,1764713158970,1764713160987,2877,2017
nM4-006,newMachine,1764713219072,1764713219082,1764713224073,10,4991
mF1-001,machineFailure,1764713246025,1764713257786,1764713259792,11761,2006
sA-001,storageAlert,1764713260930,1764713260937,1764713274791,7,13854
nM4-007,newMachine,1764713269916,1764713269924,1764713274914,8,4990
nM1-008,newMachine,1764713280389,1764713285398,1764713290390,5009,4992
mF3-001,machineFailure,1764713295712,1764713297788,1764713299795,2076,2007
nM0-009,newMachine,1764713315914,1764713318074,1764713320915,2160,2841
nM3-010,newMachine,1764713326157,1764713326165,1764713331158,8,4993
nM4-011,newMachine,1764713417951,1764713432959,1764713437952,15008,4993
nM0-012,newMachine,1764713453689,1764713463250,1764713463690,9561,440
mF1-002,machineFailure,1764713471685,1764713476578,1764713478634,4893,2056
nM3-013,newMachine,1764713520151,1764713525160,1764713530152,5009,4992
nM2-014,newMachine,1764713571126,1764713581133,1764713586126,10007,4993
nM4-015,newMachine,1764713612150,1764713617158,1764713622152,5008,4994
nM3-016,newMachine,1764713683746,1764713694241,1764713698746,10495,4505
sA-002,storageAlert,1764713740999,1764713748803,1764713748809,7804,6
mF0-001,machineFailure,1764713895740,1764713900912,1764713902916,5172,2004
nM3-018,newMachine,1764713913162,1764713919254,1764713923163,6092,3909
nM0-019,newMachine,1764713923414,1764713923421,1764713928415,7,4994
sA-003,storageAlert,1764714031043,1764714034193,1764714034196,3150,3
nM2-020,newMachine,1764714550705,1764714550712,1764714555705,7,4993
nM3-021,newMachine,1764714581139,1764714595391,1764714596139,14252,748
nM1-030,newMachine,1764714611616,1764714616622,1764714621617,5006,4995
nM4-031,newMachine,1764715034809,1764715048697,1764715049808,13888,1111
sA-004,storageAlert,1764715191211,1764715191222,1764715193228,11,2006
mF3-002,machineFailure,1764715275039,1764715276672,1764715278678,1633,2006
mF0-002,machineFailure,1764715276506,1764715276674,1764715278678,168,2004
nM3-032,newMachine,1764715314749,1764715314755,1764715319749,6,4994
mF1-003,machineFailure,1764715374076,1764715376671,1764715378676,2595,2005
