id,type,trigger_ts,reaction_ts,solved_ts,scheduler_latency,machine_latency
nM2-001,newMachine,1763909785926,1763909785965,1763909790926,39,4961
nM1-002,newMachine,1763909786009,1763909786021,1763909791009,12,4988
nM0-003,newMachine,1763909786019,1763909786033,1763909791020,14,4987
mF1-001,machineFailure,1763909796010,1763909797390,1763909799402,1380,2012
mF2-001,machineFailure,1763909810929,1763909822335,1763909824341,11406,2006
mF1-002,machineFailure,1763909865760,1763909869300,1763909871310,3540,2010
nM1-004,newMachine,1763910446122,1763910446128,1763910451122,6,4994
nM2-005,newMachine,1763910691027,1763910691641,1763910696027,614,4386
nM0-006,newMachine,1763910818411,1763910826637,1763910828412,8226,1775
nM2-007,newMachine,1763911021946,1763911021954,1763911026946,8,4992
nM2-008,newMachine,1763911286491,1763911291498,1763911296492,5007,4994
nM1-009,newMachine,1763911312192,1763911321627,1763911322191,9435,564
nM0-010,newMachine,1763911367903,1763911372912,1763911377903,5009,4991
nM0-011,newMachine,1763911678584,1763911690621,1763911693586,12037,2965
nM0-012,newMachine,1763911831775,1763911831782,1763911836776,7,4994
sA-001,storageAlert,1763912635591,1763912643276,1763912643281,7685,5
nM0-013,newMachine,1763912657147,1763912657155,1763912662147,8,4992
nM0-014,newMachine,1763912779551,1763912783800,1763912784551,4249,751
nM1-015,newMachine,1763912805008,1763912805015,1763912810008,7,4993
sA-002,storageAlert,1763912825615,1763912828752,1763912828755,3137,3
nM0-016,newMachine,1763912840362,1763912840368,1763912845361,6,4993
mF1-003,machineFailure,1763913094963,1763913096888,1763913098893,1925,2005
nM1-017,newMachine,1763913334479,1763913339487,1763913344480,5008,4993
nM2-018,newMachine,1763913390187,1763913390194,1763913395188,7,4994
nM0-019,newMachine,1763913410711,1763913410718,1763913415710,7,4992
nM2-020,newMachine,1763913762429,1763913777436,1763913782430,15007,4994
nM0-021,newMachine,1763913833616,1763913833623,1763913838615,7,4992
nM1-022,newMachine,1763914251325,1763914251331,1763914256324,6,4993
nM1-023,newMachine,1763914282119,1763914290705,1763914292119,8586,1414
nM0-024,newMachine,1763914435316,1763914437267,1763914440317,1951,3050
nM2-025,newMachine,1763914957099,1763914964414,1763914967100,7315,2686
nM1-026,newMachine,1763915221893,1763915221901,1763915226893,8,4992
sA-003,storageAlert,1763916256129,1763916256136,1763916258141,7,2005
nM2-027,newMachine,1763916336321,1763916338587,1763916341322,2266,2735
nM2-028,newMachine,1763916977514,1763916977521,1763916982515,7,4994
nM0-029,newMachine,1763917267821,1763917277829,1763917282822,10008,4993
nM1-030,newMachine,1763917924171,1763917932693,1763917934173,8522,1480
nM0-031,newMachine,1763918417997,1763918432790,1763918432998,14793,208
sA-004,storageAlert,1763918646489,1763918655770,1763918655772,9281,2
sA-005,storageAlert,1763918676494,1763918676503,1763918678508,9,2005
nM1-032,newMachine,1763918708042,1763918718050,1763918723044,10008,4994
nM2-033,newMachine,1763918758725,1763918768336,1763918768726,9611,390
nM2-034,newMachine,1763918758725,1763918768373,1763918768726,9648,353
nM0-035,newMachine,1763918779204,1763918779211,1763918784204,7,4993
nM1-036,newMachine,1763918825085,1763918825091,1763918830086,6,4995
nM1-037,newMachine,1763918880776,1763918880783,1763918885777,7,4994
nM1-038,newMachine,1763918911520,1763918915348,1763918916521,3828,1173
nM0-039,newMachine,1763919298124,1763919302913,1763919303125,4789,212
nM0-040,newMachine,1763919344124,1763919347873,1763919349125,3749,1252
nM0-041,newMachine,1763920339080,1763920354086,1763920359081,15006,4995
