id,type,trigger_ts,reaction_ts,solved_ts,scheduler_latency,machine_latency
nM3-001,newMachine,1764701089967,1764701090008,1764701094966,41,4958
nM0-002,newMachine,1764701090080,1764701090110,1764701095080,30,4970
nM1-003,newMachine,1764701090147,1764701090164,1764701095146,17,4982
nM4-004,newMachine,1764701090192,1764701090220,1764701095192,28,4972
nM2-005,newMachine,1764701090228,1764701090277,1764701095228,49,4951
nM4-006,newMachine,1764701187940,1764701199256,1764701202941,11316,3685
sA-001,storageAlert,1764701194857,1764701198754,1764701198759,3897,5
mF2-001,machineFailure,1764701200233,1764701210694,1764701212705,10461,2011
nM0-007,newMachine,1764701590677,1764701590685,1764701595677,8,4992
nM3-008,newMachine,1764701616046,1764701629221,1764701631048,13175,1827
nM2-011,newMachine,1764701631401,1764701636408,1764701641401,5007,4993
nM3-012,newMachine,1764702116057,1764702123771,1764702126058,7714,2287
mF3-001,machineFailure,1764702136059,1764702137668,1764702139673,1609,2005
nM4-032,newMachine,1764702146530,1764702146537,1764702151531,7,4994
mF1-001,machineFailure,1764702160350,1764702162669,1764702164674,2319,2005
nM4-033,newMachine,1764702462024,1764702462113,1764702467024,89,4911
sA-002,storageAlert,1764703175178,1764703183884,1764703183890,8706,6
nM4-051,newMachine,1764703200293,1764703214082,1764703215294,13789,1212
sA-003,storageAlert,1764703275192,1764703275673,1764703275676,481,3
nM2-052,newMachine,1764703872785,1764703880084,1764703882784,7299,2700
nM1-055,newMachine,1764704988515,1764705006220,1764705008516,17705,2296
mF2-002,machineFailure,1764705024617,1764705027298,1764705029308,2681,2010
mF2-003,machineFailure,1764705059566,1764705062300,1764705064310,2734,2010
nM1-085,newMachine,1764705095307,1764705105317,1764705110308,10010,4991
nM3-086,newMachine,1764705396635,1764705411272,1764705411638,14637,366
nM3-093,newMachine,1764705452919,1764705466274,1764705467922,13355,1648
nM1-096,newMachine,1764705692594,1764705692600,1764705697595,6,4995
nM2-097,newMachine,1764705702829,1764705702838,1764705707830,9,4992
nM0-098,newMachine,1764705733361,1764705733371,1764705738362,10,4991
nM0-099,newMachine,1764706218487,1764706221183,1764706223486,2696,2303
nM4-108,newMachine,1764706259307,1764706265983,1764706269309,6676,3326
nM3-111,newMachine,1764706565244,1764706565254,1764706570245,10,4991
nM1-112,newMachine,1764706698330,1764706698338,1764706703329,8,4991
nM3-113,newMachine,1764706723886,1764706736974,1764706738888,13088,1914
nM0-116,newMachine,1764706774675,1764706781915,1764706784677,7240,2762
nM4-117,newMachine,1764707086170,1764707096909,1764707101171,10739,4262
nM1-118,newMachine,1764707377323,1764707397178,1764707397325,19855,147
mF3-002,machineFailure,1764707407744,1764707410165,1764707412178,2421,2013
nM4-121,newMachine,1764707423264,1764707442171,1764707443266,18907,1095
nM2-122,newMachine,1764707555552,1764707561863,1764707565554,6311,3691
nM0-134,newMachine,1764707642343,1764707652289,1764707652344,9946,55
mF0-001,machineFailure,1764707752349,1764707757055,1764707759063,4706,2008
mF4-001,machineFailure,1764707754368,1764707757056,1764707759063,2688,2007
nM4-136,newMachine,1764707861905,1764707877300,1764707881905,15395,4605
nM2-139,newMachine,1764708401776,1764708416606,1764708416777,14830,171
nM2-142,newMachine,1764708478040,1764708478048,1764708483041,8,4993
nM1-143,newMachine,1764708503538,1764708503545,1764708508539,7,4994
nM4-144,newMachine,1764708519046,1764708528060,1764708529047,9014,987
mF3-003,machineFailure,1764708671263,1764708675644,1764708677659,4381,2015
nM1-145,newMachine,1764709238561,1764709258364,1764709258563,19803,199
mF4-002,machineFailure,1764709268048,1764709271425,1764709273430,3377,2005
nM1-146,newMachine,1764709442270,1764709448819,1764709452271,6549,3452
nM2-148,newMachine,1764709819152,1764709833272,1764709834153,14120,881
nM2-155,newMachine,1764709875430,1764709878240,1764709880431,2810,2191
nM3-156,newMachine,1764710288639,1764710288648,1764710293640,9,4992
nM2-157,newMachine,1764710349681,1764710349689,1764710354681,8,4992
nM0-158,newMachine,1764710410786,1764710417847,1764710420787,7061,2940
nM2-170,newMachine,1764710426288,1764710441298,1764710446290,15010,4992
nM0-171,newMachine,1764710609625,1764710609634,1764710614625,9,4991
nM0-172,newMachine,1764710650383,1764710650390,1764710655384,7,4994
nM1-173,newMachine,1764710731900,1764710745313,1764710746902,13413,1589
nM2-176,newMachine,1764710747417,1764710752424,1764710757418,5007,4994
