event_id,event_type,trigger_ts,trigger_source,reaction_ts,reaction_type,solved_ts,related_machine_id,related_alert_id,resolution_time_ms,total_response_time_ms,metadata
newMachine:machine_2:1763904495536,newMachine,1763904495536,cutting_machine_discovery,1763904495580,AssignBlade,1763904500536,2,,44,5000,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_1:1763904495537,newMachine,1763904495537,cutting_machine_discovery,1763904495574,AssignBlade,1763904500538,1,,37,5001,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_4:1763904495638,newMachine,1763904495638,cutting_machine_discovery,1763904495651,AssignBlade,1763904500639,4,,13,5001,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_0:1763904495678,newMachine,1763904495678,cutting_machine_discovery,1763904495705,AssignBlade,1763904500679,0,,27,5001,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_3:1763904495712,newMachine,1763904495712,cutting_machine_discovery,1763904495757,AssignBlade,1763904500712,3,,45,5000,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_4:1763904540636,machineFailure,1763904540636,heartbeat_monitor,1763904548783,SwapBlade,1763906553116,4,,8147,2012480,"{""swap_target_machine"": 0}"
newMachine:machine_1:1763904546361,newMachine,1763904546361,cutting_machine_discovery,1763904701799,AssignBlade,1763904963642,1,,155438,417281,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_4:1763904566839,newMachine,1763904566839,cutting_machine_discovery,1763904719553,AssignBlade,1763904724542,4,,152714,157703,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_4:1763904581840,machineFailure,1763904581840,heartbeat_monitor,1763906397947,SwapBlade,1763906399952,4,,1816107,1818112,"{""swap_target_machine"": 1}"
newMachine:machine_2:1763904587095,newMachine,1763904587095,cutting_machine_discovery,1763904719071,AssignBlade,1763904974132,2,,131976,387037,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_0:1763904622947,newMachine,1763904622947,cutting_machine_discovery,1763904712962,AssignBlade,1763904717952,0,,90015,95005,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
